commentthreadid,forumpostid,forumuid,staffcandidate,staff,nonstaff,Sentiment,Confusion,Urgency,Opinion,Question,Answer,demandreview,createdat,staffcandidatepresence,countopinions,confusionaverage,confusionmedian,minconfusion,maxconfusion,urgencyaverage,urgencymedian,minurgency,maxurgency,sentimentaverage,sentimentmedian,minsentiment,maxsentiment,consensus,agregatedstatus,firstopinionid,firstopinionsimilarity,opinionproximity,Text,upcount,reads,CourseType,coursedisplayname,posttype,anonymous,anonymoustopeers,opinions,demandreviewreason,staffright,staffcount,opinionmode,iamright,total_posts,iagree_1,iagree_2,iagree_3,iagree_4,iagree_5,post_class,consensus_4,consensus_3,consensus_2
51bfba4922429c1600000036,537818852d4668d21000000c,0451A403F2F7D6356449CF2BF3E2D1E2,FALSE,FALSE,FALSE,4,3,2,TRUE,FALSE,TRUE,TRUE,18/05/2014 02:18,FALSE,2,0.5952380952380952,4.75,0,6,3.8333333333333335,4.75,0,6.5,4.083333333333333,4.25,0,4.5,0.8554362707217347,0.39217445245697463,537818852d4668d21000000c,0.7857142857142857,0.5005072734054457,You can use logistic regression in a cross sectional study since this analysis allows you to control for confounders which is a big issue in observational studies. Regards.,0,111,Medicine,Medicine/HRP258/Statistics_in_Medicine,Comment,FALSE,FALSE,"{5205d1ae6ca0be0e00000065=0.3105184632599776, 537818852d4668d21000000c=0.7857142857142857}",first opinion is not the first comment / more than one opinion,0,1,537818852d4668d21000000c,1,6,0,0,0,0,0,0,1,1,1
51bfba4922429c1600000036,5205d1ae6ca0be0e00000065,20E1EEA9107819754FDFEDF47E755D0B,TRUE,FALSE,FALSE,4,4,4,TRUE,TRUE,TRUE,TRUE,10/08/2013 05:37,FALSE,2,0.5952380952380952,4.75,0,6,3.8333333333333335,4.75,0,6.5,4.083333333333333,4.25,0,4.5,0.8554362707217347,0.3707792782278359,5205d1ae6ca0be0e00000065,0.7142857142857143,0.5005072734054457,"> a) Logistic regression is used to show causal relationshipPerhaps this is where your assumptions go wrong?  At about 23:00 minutes, when the professor is describing what logistics regression is good for, she says, used even more often, is just to try to say... is a particular predictor, like homework, related to the outcome.  In this case, book smart or street smart, are those variables related?''''She uses the word ''''related'''' which is correlation, not causation.  So you cannot say logistic regression *is used to show* causal relationship.  But you can say logistic regression *can be used to help show* causal relationship.  I guess to prove causality, you need a lot more than just logistic regression.Hope I haven't said anything incorrect.''''",0,111,Medicine,Medicine/HRP258/Statistics_in_Medicine,Comment,FALSE,FALSE,"{5205d1ae6ca0be0e00000065=0.7142857142857143, 537818852d4668d21000000c=0.35788884744498317}",first opinion is not the first comment / more than one opinion,0,1,537818852d4668d21000000c,1,6,0,0,0,0,0,0,1,1,1
51bfba4922429c1600000036,51c11a297b03b31600000034,65A1D8A2220ABD82B005C4A06ED32213,FALSE,FALSE,TRUE,4,3.5,3,FALSE,FALSE,TRUE,TRUE,19/06/2013 02:40,FALSE,2,0.5952380952380952,4.75,0,6,3.8333333333333335,4.75,0,6.5,4.083333333333333,4.25,0,4.5,0.8554362707217347,NA,537818852d4668d21000000c,0.34527439024390244,0.5005072734054457,Logistic regression is not used only to determine causality.It is the regression technique to use when you have a binary outcome (or categorical outcomes)as the sudden jump in the curve (for eg from 0 to 1 allows you to deal with binary outcomes in an equation form.Also technically logistic regression is not strictly used to determine causality but the Odds. You then use causality tests but they are difficult to apply and at the end of the day causality still involves using biological/physical plausibility etc etc etc.The numbers spit out dont exactly mean causality but suggest a possibility of causality.The teachers may correct me if I am wrong.,0,111,Medicine,Medicine/HRP258/Statistics_in_Medicine,Comment,FALSE,FALSE,"{5205d1ae6ca0be0e00000065=0.3262195121951219, 537818852d4668d21000000c=0.34527439024390244}",first opinion is not the first comment / more than one opinion,0,1,537818852d4668d21000000c,1,6,0,0,0,0,0,0,1,1,1
51bfba4922429c1600000036,51c0fc0e7b03b30a0000001b,2C3714E09288D46BC2990051C6A7818E,FALSE,FALSE,FALSE,4.5,6,6.5,FALSE,TRUE,FALSE,TRUE,19/06/2013 00:32,FALSE,2,0.5952380952380952,4.75,0,6,3.8333333333333335,4.75,0,6.5,4.083333333333333,4.25,0,4.5,0.8554362707217347,NA,537818852d4668d21000000c,0.47680890538033394,0.5005072734054457,Thank you very much for your reply.But I am still puzzled by the use of logistic regession in cross sectional study.Allow me to put it in this way.a) Logistic regression is used to show causal relationshipb) cross sectional study cannot determine causal relationshipc) But we still use logistic regression in cross sectional studyPlease correct me if I am wrong.Thank you very much.,0,111,Medicine,Medicine/HRP258/Statistics_in_Medicine,Comment,FALSE,FALSE,"{5205d1ae6ca0be0e00000065=0.475062609900357, 537818852d4668d21000000c=0.47680890538033394}",first opinion is not the first comment / more than one opinion,0,1,537818852d4668d21000000c,1,6,0,0,0,0,0,0,1,1,1
51bfba4922429c1600000036,51bfde2622429c1600000050,3CC1D7C4DFDB45A6636246BFED375DA3,FALSE,TRUE,FALSE,4,3,1.5,FALSE,FALSE,TRUE,TRUE,18/06/2013 04:12,FALSE,2,0.5952380952380952,4.75,0,6,3.8333333333333335,4.75,0,6.5,4.083333333333333,4.25,0,4.5,0.8554362707217347,NA,537818852d4668d21000000c,0.3637873754152824,0.5005072734054457,Any study that models categorical outcomes based on predictor variables can use logistic regression.Raj,0,111,Medicine,Medicine/HRP258/Statistics_in_Medicine,Comment,FALSE,FALSE,"{5205d1ae6ca0be0e00000065=0.28366281238343904, 537818852d4668d21000000c=0.3637873754152824}",first opinion is not the first comment / more than one opinion,0,1,537818852d4668d21000000c,1,6,0,0,0,0,0,0,1,1,1
51bfba4922429c1600000036,51bfba4922429c1600000036,2C3714E09288D46BC2990051C6A7818E,FALSE,FALSE,FALSE,4,5.5,6,FALSE,TRUE,FALSE,TRUE,18/06/2013 01:39,FALSE,2,0.5952380952380952,4.75,0,6,3.8333333333333335,4.75,0,6.5,4.083333333333333,4.25,0,4.5,0.8554362707217347,NA,5205d1ae6ca0be0e00000065,0.44269102990033227,0.5005072734054457,"(Edited Post)Dear All,Hi.I understand that cross sectional study cannot determine causal relationship but I did  find some cross sectional studies that used logistic regression in their analysis.I am really puzzled.Can we use **logistic regression** in **cross sectional** study?Allow me to put it in this way.a) Logistic regression is used to show causal relationshipb) cross sectional study cannot determine causal relationshipc) But we still use logistic regression in cross sectional study I am sorry if I have asked this question too early but this has been a buring quetsion in my heart. May I have you opinion on this matter please I would be deeply appreciated to you if you could enlighten me on this matter.Thank you very much in advance.",0,111,Medicine,Medicine/HRP258/Statistics_in_Medicine,CommentThread,FALSE,FALSE,"{5205d1ae6ca0be0e00000065=0.44269102990033227, 537818852d4668d21000000c=0.43106312292358806}",first opinion is not the first comment / more than one opinion,0,1,537818852d4668d21000000c,1,6,0,0,0,0,0,0,1,1,1
51cc41948deca61100000014,51d25649bbdc2e1200000001,2C4AE30E0FE6B27CBC690DC06A717350,FALSE,FALSE,FALSE,4,3.5,2.5,FALSE,FALSE,TRUE,TRUE,02/07/2013 04:25,FALSE,1,0.5833333333333333,4.5,0,5,3,4,0,5.5,4,4,0,4,0.8824455318189655,NA,51cfed30ae53041200000005,0.3192007797270955,0.3192007797270955,"i agree with Shabi, it seems the correct answer'''' is for specificity rather than NPV.''''",0,129,Medicine,Medicine/HRP258/Statistics_in_Medicine,Comment,FALSE,FALSE,{51cfed30ae53041200000005=0.3192007797270955},first opinion is not the first comment,0,1,51cfed30ae53041200000005,1,6,0,0,0,0,0,0,1,1,1
51cc41948deca61100000014,51cfed30ae53041200000005,4473A5A2C4CFAB22BCA5F54026853B3A,TRUE,FALSE,FALSE,4,4,3.5,TRUE,FALSE,FALSE,TRUE,30/06/2013 08:32,FALSE,1,0.5833333333333333,4.5,0,5,3,4,0,5.5,4,4,0,4,0.8824455318189655,0.36626221638752965,51cfed30ae53041200000005,0.7142857142857143,0.3192007797270955,"Seems to me that the comment saying that for NPV (and also PPV) you must have prevalence of fractures in the population is absolutely correct.  The ER patients are hardly representative of the population in the matter of prevalence. It looks like this is a measure of specificity. Please some of the staff or teacher explain better. I quote from her slide: (NPV) depends on the characteristics of the test (sensitivity, specificity)**and the prevalence of disease''''**<nameRedac_<anon_screen_name_redacted>>''''",0,129,Medicine,Medicine/HRP258/Statistics_in_Medicine,Comment,FALSE,FALSE,{51cfed30ae53041200000005=0.7142857142857143},first opinion is not the first comment,0,1,51cfed30ae53041200000005,1,6,0,0,0,0,0,0,1,1,1
51cc41948deca61100000014,51cfbd6eae53041200000002,DF8D319AC0B9C568C63ABBB1CB3B710E,FALSE,FALSE,FALSE,4,5,5.5,FALSE,TRUE,FALSE,TRUE,30/06/2013 05:09,FALSE,1,0.5833333333333333,4.5,0,5,3,4,0,5.5,4,4,0,4,0.8824455318189655,NA,51cfed30ae53041200000005,0.4102040816326531,0.3192007797270955,"I agree with ZaynabAlGammal. Doesn't the NPV depend on prevalence of fractures in the population? The correct'''' answer implies that this group of patients is representative of the entire population. Even if we limit that population to ER patients with ankle pain, it seems unreasonable to assume that the sample is representative (and therefore the true prevalence of fractures isn't the sample prevalence of 30%).''''",0,129,Medicine,Medicine/HRP258/Statistics_in_Medicine,Comment,FALSE,FALSE,{51cfed30ae53041200000005=0.4102040816326531},first opinion is not the first comment,0,1,51cfed30ae53041200000005,1,6,0,0,0,0,0,0,1,1,1
51cc41948deca61100000014,51cd79a59b6a1b160000000c,CF407125E338DE393B8B7BA462D9D400,FALSE,FALSE,FALSE,4,4,2.5,FALSE,FALSE,TRUE,TRUE,28/06/2013 11:55,FALSE,1,0.5833333333333333,4.5,0,5,3,4,0,5.5,4,4,0,4,0.8824455318189655,NA,51cfed30ae53041200000005,0.34753550543024225,0.3192007797270955,"So sorry you haven't clarify me the answer , but i had understand where was the confusion to me",0,129,Medicine,Medicine/HRP258/Statistics_in_Medicine,Comment,FALSE,FALSE,{51cfed30ae53041200000005=0.34753550543024225},first opinion is not the first comment,0,1,51cfed30ae53041200000005,1,6,0,0,0,0,0,0,1,1,1
