commentthreadid,forumpostid,forumuid,staffcandidate,staff,nonstaff,Sentiment,Confusion,Urgency,Opinion,Question,Answer,demandreview,createdat,staffcandidatepresence,countopinions,confusionaverage,confusionmedian,minconfusion,maxconfusion,urgencyaverage,urgencymedian,minurgency,maxurgency,sentimentaverage,sentimentmedian,minsentiment,maxsentiment,consensus,agregatedstatus,firstopinionid,firstopinionsimilarity,opinionproximity,Text,upcount,reads,CourseType,coursedisplayname,posttype,anonymous,anonymoustopeers,opinions,demandreviewreason,staffright,staffcount,opinionmode,iamright,total_posts,iagree_1,iagree_2,iagree_3,iagree_4,iagree_5,post_class,consensus_4,consensus_3,consensus_2
52efec7cc91dff085800006c,52f12803f06438646e00004b,4A9D89F7BCC7278E8CD163CF0E33054B,FALSE,FALSE,FALSE,4,4,2,FALSE,FALSE,FALSE,TRUE,04/02/2014 17:48,FALSE,2,0.630952380952381,3.5,0,6,3.25,2.25,0,5.5,4,4,0,4,0.9901348585068921,NA,52f00759b38179d13e000081,0.012405936489746501,0.015422276777047127,"Ohh, that's what you meant when you wrote above that you don't know the equation. I thought you were referring to the regression equation :pThanks for your inputs though :)Will look into the R function.",0,694,Humanities,HumanitiesScience/StatLearning/Winter2014,Comment,FALSE,FALSE,"{52f00759b38179d13e000081=0.012405936489746501, 52f00fefb38179d13e000087=0.010126146677751323}",first opinion is not the first comment / more than one opinion,0,3,52f00759b38179d13e000081,1,6,0,0,0,0,0,0,1,1,1
52efec7cc91dff085800006c,52f124748a0e211fc400005a,9B89A4D87229DFCC2982FB78DFEA755F,FALSE,TRUE,FALSE,4,4,2,FALSE,FALSE,TRUE,TRUE,04/02/2014 17:33,FALSE,2,0.630952380952381,3.5,0,6,3.25,2.25,0,5.5,4,4,0,4,0.9901348585068921,NA,52f00759b38179d13e000081,0.025125593503166614,0.015422276777047127,"I don't know the equations, but you can calculate them using the predict() function in R.predict(..., interval=confidence'''')predict(..., interval=''''prediction'''')''''",0,694,Humanities,HumanitiesScience/StatLearning/Winter2014,Comment,FALSE,FALSE,"{52f00759b38179d13e000081=0.025125593503166614, 52f00fefb38179d13e000087=0.019913934395878467}",first opinion is not the first comment / more than one opinion,0,3,52f00759b38179d13e000081,1,6,0,0,0,0,0,0,1,1,1
52efec7cc91dff085800006c,52f00fefb38179d13e000087,9B89A4D87229DFCC2982FB78DFEA755F,FALSE,TRUE,FALSE,4,3,2.5,TRUE,FALSE,TRUE,TRUE,03/02/2014 21:53,FALSE,2,0.630952380952381,3.5,0,6,3.25,2.25,0,5.5,4,4,0,4,0.9901348585068921,0.018188396619951232,52f00759b38179d13e000081,0.019430840750927665,0.015422276777047127,"Remember that a linear regression is spitting out an *estimate* of $E(y|X=x)$. Your estimate may change if you fit the same regression on a different sample data set. The confidence interval captures the variability of your estimate when you repeatedly sample, fit, and estimate.Remember that $E(y|X=x)$ is the average of y given X=x. Just because you can exactly predict $E(y|X=x)$, doesn't mean you can exactly predict y. Because of irreducible error.",0,694,Humanities,HumanitiesScience/StatLearning/Winter2014,Comment,FALSE,FALSE,"{52f00759b38179d13e000081=0.019430840750927665, 52f00fefb38179d13e000087=0.019135995893228886}",first opinion is not the first comment / more than one opinion,0,3,52f00759b38179d13e000081,1,6,0,0,0,0,0,0,1,1,1
52efec7cc91dff085800006c,52f009f1b38179a7b9000082,AE3CC923F2A71C2E677B2223260C11E7,FALSE,TRUE,FALSE,4,4,2,FALSE,FALSE,TRUE,TRUE,03/02/2014 21:28,FALSE,2,0.630952380952381,3.5,0,6,3.25,2.25,0,5.5,4,4,0,4,0.9901348585068921,NA,52f00759b38179d13e000081,0.033842640690386734,0.015422276777047127,You can have a confidence interval for the value of a regression function at a particular point.  This is difference from a prediction interval (which also takes the irreducible error into account).,0,694,Humanities,HumanitiesScience/StatLearning/Winter2014,Comment,FALSE,FALSE,"{52f00759b38179d13e000081=0.033842640690386734, 52f00fefb38179d13e000087=0.026877302120261994}",first opinion is not the first comment / more than one opinion,0,3,52f00759b38179d13e000081,1,6,0,0,0,0,0,0,1,1,1
52efec7cc91dff085800006c,52f00759b38179d13e000081,BC86F8D3A5D34083B053C9412F7B59DB,FALSE,FALSE,FALSE,4,5.5,5.5,TRUE,FALSE,FALSE,TRUE,03/02/2014 21:17,FALSE,2,0.630952380952381,3.5,0,6,3.25,2.25,0,5.5,4,4,0,4,0.9901348585068921,0.022139304174868833,52f00759b38179d13e000081,0.02775897157633326,0.015422276777047127,"You could assume that the irreducible error is normal, estimate their parameters from the training error and calculate how that distribution affects the model prediction's variance.But it is not clear to me why that irreducible error is not included in the first confidence interval in the paragraph above. That c.i. is about a prediction, not a parameter, so I think it should include all the possible errors and unknowns.Please comment, I think I am missing something.",0,694,Humanities,HumanitiesScience/StatLearning/Winter2014,Comment,FALSE,FALSE,"{52f00759b38179d13e000081=0.02775897157633326, 52f00fefb38179d13e000087=0.019430840750927682}",first opinion is not the first comment / more than one opinion,0,3,52f00759b38179d13e000081,1,6,0,0,0,0,0,0,1,1,1
52efec7cc91dff085800006c,52efec7cc91dff085800006c,4A9D89F7BCC7278E8CD163CF0E33054B,FALSE,FALSE,FALSE,4,6,5.5,FALSE,TRUE,FALSE,TRUE,03/02/2014 19:22,FALSE,2,0.630952380952381,3.5,0,6,3.25,2.25,0,5.5,4,4,0,4,0.9901348585068921,NA,52f00759b38179d13e000081,0.020195852105431105,0.015422276777047127,"In section 3.2.2 of the book, on page 82 (right before section 3.3 starts), the following paragraph has been written on confidence and prediction intervals.*For example, given that $100,000 is spent on TV advertising and $20,000 is spent on radio advertising in each city, the 95 % confidence interval is [10,985, 11,528]....Given that $100,000 is spent on TV advertising and $20,000 is spent on radio advertising in that city, the 95% prediction interval is [7,930, 14,580].*While I now understand the difference between confidence and prediction intervals (using different sources from the web), I still cannot trace out the calculations in the above examples. For example, given that there were two variables in the model, what was the standard error that was used to calculate the CI? How was this standard error calculated? Similarly, what was the standard error used to define PI and how was it calculated?Would much appreciate some help on this.",1,694,Humanities,HumanitiesScience/StatLearning/Winter2014,CommentThread,FALSE,FALSE,"{52f00759b38179d13e000081=0.020195852105431105, 52f00fefb38179d13e000087=0.01501945792065179}",first opinion is not the first comment / more than one opinion,0,3,52f00759b38179d13e000081,1,6,0,0,0,0,0,0,1,1,1
52d84b0640372bbb7f00001f,52e3acd6df09ce81b2000014,2A667BD26D2B1E34D6E137CE32429011,FALSE,FALSE,FALSE,6,4,3,FALSE,TRUE,FALSE,TRUE,25/01/2014 12:23,FALSE,2,0.5714285714285714,3.5,0,5,2.8333333333333335,3,0,5,4.75,4.25,0,6,0.7814789059064615,NA,52d91c421753e9a9b8000013,0.3404032772660203,0.3386366783246552,"I remember when I first moved to Southern Georgia from Japan in June, it was so much hotter than I was accustomed to and I was profusely sweating for the first few weeks (it has been so many years ago that I don't remember exactly how long). I was first wearing socks and sneakers, and remember it was quite uncomfortable because my feet got soaking wet. Soon I started wearing sandals...but then later on I realized my body was no longer sweating as uncomfortably as I first thought. That was very unique experience in my life and that's how I remember about it.Another thing I have been thinking about these days is that since I became a Jazzercise instructor several years ago and having regular exercise, my body seems to sweat easily (i.e. can handle quite a bit of hot temp) but also I can handle cooler temperature better than some people too...and I assume that's because my muscle mass increased and my BMR also became higher... Not a big fan of cold weather, but at least I feel I'm adapting better now. Does that make sense?* Before starting Jazzercise, I have been rather inactive for most of my life, so there are still a lot of questions in my mind about exercise and physical reactions as well as diet and hydration. This course has been teaching me so much of what I wanted to know. I'm really enjoying it. Thank you so much for the fun course!",0,59,Humanities,HumanitiesSciences/EP101/Environmental_Physiology,Comment,FALSE,FALSE,"{52d84b0640372bbb7f00001f=0.33775784405223186, 52d91c421753e9a9b8000013=0.3404032772660203}",more than one opinion,0,1,52d91c421753e9a9b8000013,1,6,0,0,0,0,0,0,1,1,1
52d84b0640372bbb7f00001f,52dc63a74d6f00a691000004,DD68EF11EA188585D5684FFFF96F8640,FALSE,FALSE,FALSE,6,4,1.5,FALSE,FALSE,FALSE,TRUE,19/01/2014 23:45,FALSE,2,0.5714285714285714,3.5,0,5,2.8333333333333335,3,0,5,4.75,4.25,0,6,0.7814789059064615,NA,52d91c421753e9a9b8000013,0.3400292020677044,0.3386366783246552,It´s pretty understandable!! Thanks for taking the time and share this info!,0,59,Humanities,HumanitiesSciences/EP101/Environmental_Physiology,Comment,FALSE,FALSE,"{52d84b0640372bbb7f00001f=0.3375090635925201, 52d91c421753e9a9b8000013=0.3400292020677044}",more than one opinion,0,1,52d91c421753e9a9b8000013,1,6,0,0,0,0,0,0,1,1,1
52d84b0640372bbb7f00001f,52d91c421753e9a9b8000013,7795DDE55C8B80EE7AD7E1B948245CE5,FALSE,FALSE,FALSE,4,4,3.5,TRUE,FALSE,FALSE,TRUE,17/01/2014 12:04,FALSE,2,0.5714285714285714,3.5,0,5,2.8333333333333335,3,0,5,4.75,4.25,0,6,0.7814789059064615,0.06723314632858404,52d91c421753e9a9b8000013,0.0215723135107075,0.3386366783246552,"Thanks for the answer. Well, Guyton writes a bit about adaptation to cold, and aknowledge that the behavioral adaptation is way more important than peopole used to think back in the days. But he specifically talks about the increase in tiroxin and the discoupling of the respiratory chain, also increased metabolism makes people feel more hungry and more often. And just remembered this, he says we have a lot more of cold sensors in the skin than heat sensors, but i think this makes sense since we're tropical animals, and really need to feel cold before it gets into our heads.Anyway, this adaptation takes weeks. But he doesn't says much about adaptation to heat, and doesn't give a time. Silbernagl in the other hand, is the opposite: he says that physiological adaptation to heat takes years, but doesn't say a thing about the time required to cold adaptation. The adaptation Silbernagl writes about consist in theincrease of activity in colinergic fibers, the work by sudoripary glands increase so salts are reabsorbed more efficiently and increase of thirst.Sorry about my bad english, hope you can understand what i'm writing!",0,59,Humanities,HumanitiesSciences/EP101/Environmental_Physiology,Comment,FALSE,FALSE,"{52d84b0640372bbb7f00001f=0.012311217731203996, 52d91c421753e9a9b8000013=0.0215723135107075}",more than one opinion,0,1,52d91c421753e9a9b8000013,1,6,0,0,0,0,0,0,1,1,1
52d84b0640372bbb7f00001f,52d8b3bc1753e93cee00000c,261F8F6E8B46A29D1D12E5CB0E262DD9,FALSE,TRUE,FALSE,4.5,3,2.5,FALSE,FALSE,TRUE,TRUE,17/01/2014 04:38,FALSE,2,0.5714285714285714,3.5,0,5,2.8333333333333335,3,0,5,4.75,4.25,0,6,0.7814789059064615,NA,52d91c421753e9a9b8000013,0.09345160304508919,0.3386366783246552,"Staff: Very interesting comments. I think the difference in our perspectives may be whether you are referring to actual physiological acclimatization or...just putting on clothes and getting used to it.  When it comes to the changes that occur within the body, there really aren't that many that occur in the cold.  We just put on more clothes (which is a very fast adaptation, but not exactly what I had in mind).  Perhaps you can shed some more light on exactly what types of adaptations Guyton was referring too.",0,59,Humanities,HumanitiesSciences/EP101/Environmental_Physiology,Comment,FALSE,FALSE,"{52d84b0640372bbb7f00001f=0.08966194448808164, 52d91c421753e9a9b8000013=0.09345160304508919}",more than one opinion,0,1,52d91c421753e9a9b8000013,1,6,0,0,0,0,0,0,1,1,1
